 unique id,image,brand,category,collection,code,finishing,size,quantity,detail,currency in euro,retail price in euro,rate,currency,retail price,discount,nett price,location,status,arriving ETA,booking,booking expired,mix category
149,Slamp-Clizia Suspension Large_Fume.jpg,SLAMP,Suspending Lamps,Clizia Suspension Large,CLISL00FUM01T00000EU,"Dimmable bulbs, Lentiflex, Cristalflex, Opalflex, Fume",D.78 x H. 28 cm,2,"4 x 12 W E27 LED Filament Bulbs with dimmable bulbs, included 6M Cable Kit Transparent Wire",€,"1,460","19,000",Rp,"27,740,000",,,WH Pintu Air,,,,,Lamps
150,Slamp-Clizia Suspension Large_Pixel.jpg,SLAMP,Suspending Lamps,Clizia Suspension Large,CLISL00PXL01T00000EU,"Dimmable bulbs, Lentiflex, Cristalflex, Opalflex, Pixel",D.78 x H. 28 cm,1,"4 x 12 W E27 LED Filament Bulbs with dimmable bulbs, included 6M Cable Kit Transparent Wire",€,"1,590","19,000",Rp,"30,210,000",,,WH Barito,,,,,Lamps
151,Slamp-Cordoba Suspension.jpg,SLAMP,Suspending Lamps,Cordoba Suspension,CRDSM00WHT06T00000EU,"Integrated LED, Dimmable: PWM, 0-10 or Potentimeter, Cristalflex, White",104 x 76  x H. 55 cm,1,"130W - 15.000 lmn, 3000K, CRI >90, Integrated LED, Dimmable : PWM, 0-10 or Potentimeter, included 6M Cable Kit",€,"5,940","19,000",Rp,"112,860,000",,,WH Pintu Air,,,,,Lamps
152,Slamp-La Belle Etoile Suspension Large_White.jpg,SLAMP,Suspending Lamps,La Belle Etoile Suspension Large,ETOSL00WHT01T00LEDEU,"Integrated LED, Dimmable: PWM, 0-10, Lentiflex, White",D. 90  x H. 55 cm,2,"21W - 2.830 lmn, 2700K, CRI >90, Integrated LED, Dimmable : PWM, 0-10, included 6M Cable Kit",€,"1,910","19,000",Rp,"36,290,000",,,Showroom Display,,,,,Lamps
153,Slamp-La Belle Etoile Suspension Small_White.jpg,SLAMP,Suspending Lamps,La Belle Etoile Suspension Small,ETOSS00WHT01T00LEDEU,"Integrated LED, Dimmable: PWM, 0-10, Lentiflex, White",D. 73  x H. 43 cm,2,"25W - 3.500 lmn, 3000K, CRI >90, Integrated LED, Dimmable : PWM, 0-10, included 6M Cable Kit",€,"1,740","19,000",Rp,"33,060,000",,,WH Pintu Air,,,Lissa,27-Oct-2025,Lamps
154,Slamp-Hugo Suspension Vertical.jpeg,SLAMP,Suspending Lamps,Hugo Vertical Suspension,HUGS000PRS01TVT000EU,"Integrated LED, Dimmable: PWM, 0-10, Lentiflex, Prisma",9 x 100  x H. 9 cm,2,"25W - 3.500 lmn, 3000K, CRI >90, Integrated LED, Dimmable : PWM, 0-10, included 6M Cable Kit",€,"1,300","19,000",Rp,"24,700,000",,,WH Pintu Air,,,,,Lamps
155,Slamp-Hugo Suspension Architectural 3.jpg,SLAMP,Suspending Lamps,Hugo Architectural 3 Supension,HUGSSS3PRS01TAR000EU,"Integrated LED, Dimmable: PWM, 0-10, Lentiflex, Prisma",9 x 100  x H. 9 cm  (x3 lighting),1,"60W - 10.500 lmn, 3000K, CRI >90, Integrated LED, Dimmable : PWM, 0-10, included 6M Cable Kit and Magnetic Alignment Rod",€,"3,780","19,000",Rp,"71,820,000",,,Showroom Display,,,,,Lamps
156,Slamp-Tulip Suspension 14 Freestanding.jpg,SLAMP,Suspending Lamps,Tulip Suspenion 14 ,TULSL00PRS03CLDRNCEU,"Integrated LED, Dimmable: PWM, 0-10, Lentiflex, Prisma, Matt Brushed Brass",D. 5x H. 40 cm,1,"14 x 3,2 W - 6.300 lmn, 3000K, Integrated LED, Dimmable : PWM, 0-10, included 6M Cable Kit  ",€,"4,400","19,000",Rp,"83,600,000",,,Showroom Display,,,,,Lamps
157,Slamp-Veli Suspension Large_Aurea.jpg,SLAMP,Suspending Lamps,Veli Suspension Large,VELSL00WHG01R00000EU,"Dimmable Bulbs, Lentiflex with cold foils, Aurea
",D. 60  x H. 50 cm,1,"4 x 12 W  E 27 LED Filament Bulbs, 3000K with Dimmable Bulbs, included 6M Cable Kit Transparent Wire ",€,"1,410","19,000",Rp,"26,790,000",,,Showroom Display,,,,,Lamps
158,Slamp-Veli Suspension Medium_Aurea.jpg,SLAMP,Suspending Lamps,Veli Suspension Medium,VELSS00WHG01T00000EU,"Dimmable Bulbs, Lentiflex with cold foils, Aurea
",D. 42  x H. 36 cm,1,"2 x 12 W  E 27 LED Filament Bulbs, 3000K with Dimmable Bulbs, included 6M Cable Kit Transparent Wire ",€,940,"19,000",Rp,"17,860,000",,,WH Barito,,,,,Lamps
159,Slamp-Clizia Table_Gold-White.jpg,SLAMP,Table Lamps,Clizia Table,CLITS00GNM00000WHBEU,"Lentiflex, Cristalflex, Cristalflex with cold foil, Mama non Mama Gold, Light Base",D. 27 x H. 25 cm,3,"1 x 6 W E14 LED, Not Dimmable",€,460,"19,000",Rp,"8,740,000",,,Showroom Display,,,,,Lamps
160,Slamp-Clizia Table_Black.jpg,SLAMP,Table Lamps,Clizia Table,CLITS00BNM00000000EU,"Lentiflex, Cristalflex, Cristalflex with cold foil, Mama non Mama Black, Dark Base ",D. 27 x H. 25 cm,3,"1 x 6 W E14 LED, Not Dimmable",€,430,"19,000",Rp,"8,170,000",,,Showroom Display,,,,,Lamps
161,Slamp-Clizia Table_White.jpg,SLAMP,Table Lamps,Clizia Table,CLITS00MNM00000000EU,"Lentiflex, Cristalflex, Cristalflex with cold foil,warna 'Mama non Mama White, Light Base ",D. 27 x H. 25 cm,3,"1 x 6 W E14 LED, Not Dimmable",€,430,"19,000",Rp,"8,170,000",,,Showroom Display,,,,,Lamps
162,Slamp-Diamond Table.jpg,SLAMP,Table Lamps,Diamond Table,DIATS00WHT00000000EU,"Opalflex,  Aluminium Base",17 x 17 x H. 45 cm,2,"1 x 6 W E14 LED, Not Dimmable",€,270,"19,000",Rp,"5,130,000",,,Showroom Display,,,,,Lamps
163,Zafferano poldina floor XXL-white.jpg,ZAFFERANO,Floor Lamps,Poldina Floor,LL0360B3,White, Ø 28 x 150 cm I  Ø 11 x 59 in,2,Led Bulb E27 220-240V | 50-60Hz | 15W | IP40,€,490,"19,000",Rp,"9,310,000",,,WH Pintu Air,,,,,Lamps
164,Zafferano poldina floor XXL-dark grey.jpg,ZAFFERANO,Floor Lamps,Poldina Floor,LL0360N3,Dark Grey, Ø 28 x 150 cm I  Ø 11 x 59 in,2,Led Bulb E27 220-240V | 50-60Hz | 15W | IP40,€,490,"19,000",Rp,"9,310,000",,,WH Pintu Air,,,,,Lamps
165,Zafferano poldina floor XXL-corten.jpg,ZAFFERANO,Floor Lamps,Poldina Floor,LL0360R3,Corten, Ø 28 x 150 cm I  Ø 11 x 59 in,2,Led Bulb E27 220-240V | 50-60Hz | 15W | IP40,€,490,"19,000",Rp,"9,310,000",,,Showroom Display,,,,,Lamps
166,poldina micro-white.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490B3,White,"Ø 7 x 27,5 cm",6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
167,micro-corten.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490R3,Corten,"Ø 7 x 27,5 cm",2,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
168,poldina micro-dark grey.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490N3,Dark Grey,"Ø 7 x 27,5 cm",6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
169,micro-black.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490D3,Black,"Ø 7 x 27,5 cm",4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
170,micro-sand.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490S3,Sand,"Ø 7 x 27,5 cm",4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
